"","X","ID.2","ID.3","Gender","Liv.situation","Work.wors","Work.imp","Privat.wors","Privat.imp","Contract.change","Work.quant","Care.quant","Free.quant","mwb.cat","Ovrl_HO","Work_time","Caring_duties","Freetime","Age.cat","srh","Country","Age.num","Work.wors.3","Work.imp.3","Privat.wors.3","Privat.imp.3","edu.na"
"32",32,4107813671844,5243104272084,"Female","Alone","1","5","1","5",1,3,3,3,"1",3,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",39,"1","3","1","3",NA
"33",33,3869304229341,4938677154201,"Male","Alone","5","1","5","1",1,3,5,1,"1",3,"Unchanged","Increased","Decreased","31-40","1","Germany",37,"3","1","3","1",NA
"34",34,3976027281648,5074895623728,"Male","Alone","1","1","5","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","1","Germany",34,"1","1","3","1",NA
"35",35,4300361011746,5488866582906,"Male","Partner/Family/Flatshare","1","1","3","1",1,3,3,2,"1",1,"Unchanged","Unchanged","Decreased","61-65","4","Germany",62,"1","1","2","1",NA
"36",36,3593594899845,4586769088545,"Male","Alone","1","1","1","1",1,3,3,3,"1",3,"Unchanged","Unchanged","Unchanged","31-40","3","Germany",36,"1","1","1","1",3
"37",37,3591715898745,4584370781445,"Female","Partner/Family/Flatshare","4","4","4","4",1,3,2,2,"1",3,"Unchanged","Decreased","Decreased","18-30","3","Germany",26,"3","3","3","3",NA
"38",38,3773088932148,4815870504228,"Female","Partner/Family/Flatshare","1","1","1","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","61-65","3","Germany",65,"1","1","1","1",NA
"39",39,4105947158847,5240721904467,"Male","Partner/Family/Flatshare","1","1","1","4",1,3,4,3,"1",1,"Unchanged","Increased","Unchanged","31-40","1","Germany",37,"1","1","1","3",6
"40",40,4047396327441,5165989178301,"Male","Partner/Family/Flatshare","4","1","5","1",1,3,3,3,"1",2,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",36,"3","1","3","1",NA
"41",41,4199669348247,5360346417867,"Male","Partner/Family/Flatshare","4","1","2","3",2,2,4,4,"1",1,"Decreased","Increased","Increased","51-60","2","Germany",55,"3","1","1","2",NA
"42",42,3772940223141,4815680696001,"Female","Partner/Family/Flatshare","4","1","5","1",1,3,5,1,"1",3,"Unchanged","Increased","Decreased","31-40","3","Germany",40,"3","1","3","1",NA
"43",43,3806991888741,4859143337601,"Male","Partner/Family/Flatshare","1","1","4","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","2","Germany",39,"1","1","3","1",NA
"44",44,4285812282741,5470296971601,"Female","Alone","1","1","4","1",1,3,3,2,"1",1,"Unchanged","Unchanged","Decreased","51-60","3","Germany",59,"1","1","3","1",NA
"45",45,3686290821747,4705083701367,"Male","Partner/Family/Flatshare","5","1","5","1",4,1,3,4,"1",2,"Decreased","Unchanged","Increased","51-60","1","Germany",57,"3","1","3","1",NA
"46",46,3843029438649,4905140709189,"Female","Partner/Family/Flatshare","2","4","3","1",1,2,4,2,"1",2,"Decreased","Increased","Decreased","31-40","2","Germany",37,"1","3","2","1",4
"47",47,4218132630240,5383912460640,"Female","Partner/Family/Flatshare","4","1","3","3",2,3,5,3,"1",1,"Unchanged","Increased","Unchanged","31-40","4","Germany",33,"3","1","2","2",NA
"48",48,4073539472343,5199357594123,"Female","Partner/Family/Flatshare","4","1","4","1",1,4,3,2,"1",2,"Increased","Unchanged","Decreased","31-40","4","Germany",31,"3","1","3","1",NA
"49",49,4062773739546,5185616498706,"Male","Partner/Family/Flatshare","5","1","4","1",3,1,1,1,"1",1,"Decreased","Decreased","Decreased","51-60","2","Germany",56,"3","1","3","1",5
