"","X","ID.2","ID.3","Gender","Liv.situation","Work.wors","Work.imp","Privat.wors","Privat.imp","Contract.change","Work.quant","Care.quant","Free.quant","mwb.cat","Ovrl_HO","Work_time","Caring_duties","Freetime","Age.cat","srh","Country","Age.num","Work.wors.3","Work.imp.3","Privat.wors.3","Privat.imp.3","edu.na"
"589",589,3754849821840,4792590588240,"Male","Partner/Family/Flatshare","1","1","2","2",1,4,4,4,"3",1,"Increased","Increased","Increased","41-50","4","Germany",42,"1","1","1","1",4
"590",590,3889931442345,4965005181045,"Male","Partner/Family/Flatshare","4","2","2","3",1,4,4,3,"3",2,"Increased","Increased","Unchanged","41-50","4","Germany",41,"3","1","1","2",4
"591",591,3776377780440,4820068302840,"Male","Partner/Family/Flatshare","2","3","3","3",1,3,5,1,"3",3,"Unchanged","Increased","Decreased","41-50","4","Germany",41,"1","2","2","2",3
"592",592,3931568531244,5018149655484,"Female","Alone","4","1","5","2",1,1,4,1,"3",3,"Decreased","Increased","Decreased","31-40","4","Germany",40,"3","1","3","1",NA
"593",593,4305751421742,5495746759062,"Male","Alone","4","1","4","1",2,1,3,4,"3",2,"Decreased","Unchanged","Increased","31-40","4","Germany",39,"3","1","3","1",3
"594",594,4284180756144,5468214534384,"Female","Alone","4","1","4","1",1,2,3,5,"3",3,"Decreased","Unchanged","Increased","31-40","4","Germany",39,"3","1","3","1",3
"595",595,4110201774540,5246152382940,"Male","Alone","4","1","2","1",2,1,3,3,"3",2,"Decreased","Unchanged","Unchanged","31-40","2","Germany",39,"3","1","1","1",3
"596",596,4015661645547,5125483873167,"Male","Alone","1","1","2","1",1,1,3,5,"3",3,"Decreased","Unchanged","Increased","31-40","4","Germany",37,"1","1","1","1",4
"597",597,4288604544243,5473860940023,"Male","Partner/Family/Flatshare","2","2","4","3",1,2,3,4,"3",2,"Decreased","Unchanged","Increased","31-40","3","Germany",35,"1","1","3","2",NA
"598",598,4327546454847,5523565360467,"Male","Partner/Family/Flatshare","1","3","1","1",1,3,3,3,"3",2,"Unchanged","Unchanged","Unchanged","31-40","2","Germany",34,"1","2","1","1",3
"599",599,3660276723543,4671879997323,"Male","Partner/Family/Flatshare","2","4","5","1",2,2,1,4,"3",3,"Decreased","Decreased","Increased","31-40","4","Germany",34,"1","3","3","1",6
"600",600,4415488352649,5635812063189,"Male","Alone","1","1","3","1",1,3,3,1,"3",1,"Unchanged","Unchanged","Decreased","31-40","3","Germany",33,"1","1","2","1",3
"601",601,3596557170447,4590550052067,"Female","Alone","1","1","4","1",1,3,3,3,"3",3,"Unchanged","Unchanged","Unchanged","31-40","5","Germany",33,"1","1","3","1",6
"602",602,4197169039545,5357155090245,"Male","Alone","4","1","4","1",1,2,3,3,"3",1,"Decreased","Unchanged","Unchanged","31-40","4","Germany",32,"3","1","3","1",NA
"603",603,4397221675944,5612496962184,"Female","Alone","3","1","5","1",1,1,3,1,"3",3,"Decreased","Unchanged","Decreased","31-40","4","Germany",32,"2","1","3","1",NA
"604",604,4126515580746,5266974891906,"Female","Partner/Family/Flatshare","3","1","1","3",1,3,3,4,"3",3,"Unchanged","Unchanged","Increased","31-40","4","Germany",31,"2","1","1","2",NA
"605",605,3750272055342,4786747648662,"Male","Partner/Family/Flatshare","4","1","4","1",2,1,5,2,"3",2,"Decreased","Increased","Decreased","31-40","4","Germany",31,"3","1","3","1",2
"606",606,3799599617142,4849708038462,"Male","Partner/Family/Flatshare","3","3","5","2",2,2,3,4,"3",3,"Decreased","Unchanged","Increased","31-40","4","Germany",31,"2","2","3","1",NA
"607",607,4374922000644,5584034248884,"Male","Alone","3","3","3","3",1,2,3,3,"3",2,"Decreased","Unchanged","Unchanged","31-40","4","Germany",31,"2","2","2","2",NA
"608",608,4427627527548,5651306183628,"Female","Partner/Family/Flatshare","2","3","4","1",1,3,3,3,"3",2,"Unchanged","Unchanged","Unchanged","18-30","3","Germany",30,"1","2","3","1",NA
"609",609,4243401714744,5416165248984,"Male","Partner/Family/Flatshare","3","3","5","1",1,4,4,2,"3",2,"Increased","Increased","Decreased","18-30","4","Germany",30,"2","2","3","1",3
"610",610,3666468303648,4679782765728,"Male","Alone","3","2","2","2",1,3,3,3,"3",2,"Unchanged","Unchanged","Unchanged","18-30","4","Germany",30,"2","1","1","1",3
"611",611,3748792735845,4784859484545,"Female","Alone","1","1","5","1",1,4,3,1,"3",3,"Increased","Unchanged","Decreased","18-30","4","Germany",29,"1","1","3","1",NA
"612",612,4111975743840,5248416630240,"Female","Alone","3","4","2","2",2,2,3,4,"3",1,"Decreased","Unchanged","Increased","18-30","4","Germany",28,"2","3","1","1",NA
"613",613,3616274683449,4615716961989,"Female","Alone","2","4","4","2",1,3,3,4,"3",2,"Unchanged","Unchanged","Increased","18-30","4","Germany",28,"1","3","3","1",NA
"614",614,4107364135740,5242530496140,"Male","Partner/Family/Flatshare","5","1","5","1",2,1,5,1,"3",2,"Decreased","Increased","Decreased","18-30","5","Germany",26,"3","1","3","1",NA
"615",615,4222540458846,5389538496006,"Male","Alone","1","1","1","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","61-65","3","Germany",65,"1","1","1","1",4
"616",616,4157141251446,5306064684606,"Male","Partner/Family/Flatshare","1","1","1","1",1,3,3,2,"3",1,"Unchanged","Unchanged","Decreased","61-65","3","Germany",65,"1","1","1","1",NA
"617",617,4289003353548,5474369969628,"Male","Partner/Family/Flatshare","3","3","4","2",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","61-65","3","Germany",64,"2","2","3","1",6
"618",618,4284293781042,5468358796362,"Female","Partner/Family/Flatshare","5","1","3","1",2,1,1,5,"3",1,"Decreased","Decreased","Increased","61-65","1","Germany",63,"3","1","2","1",NA
"619",619,3765291584940,4805918177340,"Male","Partner/Family/Flatshare","1","1","4","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","61-65","4","Germany",62,"1","1","3","1",NA
"620",620,4286185243542,5470773008862,"Male","Partner/Family/Flatshare","1","1","1","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","61-65","4","Germany",62,"1","1","1","1",NA
"621",621,3948669123543,5039976397323,"Male","Alone","2","2","2","2",1,3,3,2,"3",1,"Unchanged","Unchanged","Decreased","61-65","3","Germany",62,"1","1","1","1",3
"622",622,4059543548844,5181493569084,"Female","Partner/Family/Flatshare","4","1","3","4",3,1,3,5,"3",1,"Decreased","Unchanged","Increased","61-65","4","Germany",61,"3","1","2","3",5
"623",623,3944643210144,5034837828384,"Male","Alone","4","1","3","1",1,2,3,4,"3",2,"Decreased","Unchanged","Increased","61-65","3","Germany",61,"3","1","2","1",5
"624",624,4426497981747,5649864461367,"Female","Alone","1","1","4","2",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","61-65","3","Germany",61,"1","1","3","1",4
"625",625,3664516305447,4677291287067,"Female","Partner/Family/Flatshare","2","3","1","3",1,4,3,4,"3",1,"Increased","Unchanged","Increased","61-65","3","Germany",61,"1","2","1","2",6
"626",626,4378974661548,5589206957628,"Female","Partner/Family/Flatshare","3","2","3","2",3,1,3,3,"3",2,"Decreased","Unchanged","Unchanged","61-65","4","Germany",61,"2","1","2","1",NA
"627",627,3986825930343,5088678732123,"Male","Partner/Family/Flatshare","4","1","5","1",1,3,3,4,"3",1,"Unchanged","Unchanged","Increased","61-65","3","Germany",61,"3","1","3","1",NA
"628",628,4199782355343,5360490657123,"Female","Partner/Family/Flatshare","2","2","2","2",1,3,2,3,"3",2,"Unchanged","Decreased","Unchanged","51-60","3","Germany",60,"1","1","1","1",6
"629",629,3986922933441,5088802544301,"Female","Partner/Family/Flatshare","1","1","4","1",1,3,4,3,"3",1,"Unchanged","Increased","Unchanged","51-60","3","Germany",60,"1","1","3","1",3
"630",630,4103394316443,5237463524223,"Female","Partner/Family/Flatshare","4","1","2","2",2,2,3,4,"3",1,"Decreased","Unchanged","Increased","51-60","4","Germany",60,"3","1","1","1",3
"631",631,4314444191748,5506841979828,"Female","Alone","4","1","4","1",2,1,1,3,"3",1,"Decreased","Decreased","Unchanged","51-60","3","Germany",60,"3","1","3","1",NA
"632",632,4282082763741,5465536712601,"Male","Partner/Family/Flatshare","1","4","1","3",1,3,3,4,"3",2,"Unchanged","Unchanged","Increased","51-60","4","Germany",60,"1","3","1","2",NA
"633",633,4132244291049,5274286865589,"Male","Partner/Family/Flatshare","2","2","3","2",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","51-60","3","Germany",60,"1","1","2","1",NA
"634",634,4404769715043,5622131078823,"Female","Partner/Family/Flatshare","4","2","3","3",1,4,3,2,"3",1,"Increased","Unchanged","Decreased","51-60","3","Germany",59,"3","1","2","2",NA
"635",635,3949357153041,5040854579901,"Female","Partner/Family/Flatshare","4","1","4","1",2,2,3,2,"3",1,"Decreased","Unchanged","Decreased","51-60","3","Germany",59,"3","1","3","1",6
"636",636,3944186588844,5034255009084,"Male","Partner/Family/Flatshare","2","2","4","2",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","51-60","4","Germany",59,"1","1","3","1",4
"637",637,4341528083340,5541411139740,"Female","Alone","5","1","3","2",2,2,2,4,"3",1,"Decreased","Decreased","Increased","51-60","3","Germany",59,"3","1","2","1",5
"638",638,3686037152148,4704759924228,"Male","Partner/Family/Flatshare","3","1","1","1",1,3,4,3,"3",1,"Unchanged","Increased","Unchanged","51-60","3","Germany",58,"2","1","1","1",6
"639",639,3576788031645,4565317248345,"Male","Partner/Family/Flatshare","1","1","1","1",1,2,3,4,"3",3,"Decreased","Unchanged","Increased","51-60","4","Germany",58,"1","1","1","1",NA
"640",640,4138468742547,5282231590167,"Female","Alone","5","1","1","1",1,5,3,1,"3",2,"Increased","Unchanged","Decreased","51-60","4","Germany",58,"3","1","1","1",6
"641",641,3589171093944,4581122660184,"Male","Partner/Family/Flatshare","4","1","4","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","51-60","3","Germany",58,"3","1","3","1",NA
"642",642,4127423500548,5268133736628,"Female","Partner/Family/Flatshare","2","2","2","2",1,2,3,3,"3",3,"Decreased","Unchanged","Unchanged","51-60","3","Germany",58,"1","1","1","1",NA
"643",643,3946593383640,5037326978040,"Male","Partner/Family/Flatshare","1","5","1","1",1,3,3,3,"3",3,"Unchanged","Unchanged","Unchanged","51-60","3","Germany",58,"1","3","1","1",6
"644",644,3779815426749,4824456023289,"Male","Partner/Family/Flatshare","3","1","4","1",1,3,1,3,"3",1,"Unchanged","Decreased","Unchanged","51-60","3","Germany",57,"2","1","3","1",3
"645",645,4033735998345,5148553497045,"Male","Partner/Family/Flatshare","1","3","4","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","51-60","4","Germany",57,"1","2","3","1",6
"646",646,4311140149449,5502624787989,"Male","Alone","4","2","1","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","51-60","3","Germany",56,"3","1","1","1",3
"647",647,3945980122542,5036544227862,"Male","Alone","5","1","5","1",3,1,3,5,"3",1,"Decreased","Unchanged","Increased","51-60","2","Germany",56,"3","1","3","1",3
"648",648,3620892468843,4621610980623,"Female","Partner/Family/Flatshare","4","2","4","2",2,2,3,4,"3",1,"Decreased","Unchanged","Increased","51-60","4","Germany",55,"3","1","3","1",3
"649",649,3664346234040,4677074212440,"Male","Partner/Family/Flatshare","1","1","3","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","51-60","4","Germany",55,"1","1","2","1",6
"650",650,3680550584649,4697757015189,"Female","Alone","2","2","4","2",1,3,3,3,"3",3,"Unchanged","Unchanged","Unchanged","51-60","5","Germany",55,"1","1","3","1",5
"651",651,3658824080343,4670025882123,"Male","Partner/Family/Flatshare","3","2","2","4",1,3,4,3,"3",3,"Unchanged","Increased","Unchanged","51-60","4","Germany",55,"2","1","1","3",NA
"652",652,4034054689749,5148960266289,"Female","Partner/Family/Flatshare","3","3","2","1",1,3,4,3,"3",3,"Unchanged","Increased","Unchanged","51-60","3","Germany",55,"2","2","1","1",NA
"653",653,3771241921242,4813513028562,"Male","Partner/Family/Flatshare","1","1","5","1",1,3,3,3,"3",2,"Unchanged","Unchanged","Unchanged","51-60","4","Germany",55,"1","1","3","1",3
"654",654,3682105535943,4699741713723,"Male","Alone","2","2","2","3",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","51-60","3","Germany",54,"1","1","1","2",6
"655",655,4194421256340,5353647892740,"Female","Alone","4","2","3","2",2,2,3,4,"3",2,"Decreased","Unchanged","Increased","51-60","5","Germany",54,"3","1","2","1",NA
"656",656,4282432608645,5465983245345,"Female","Partner/Family/Flatshare","4","2","2","3",1,3,3,3,"3",2,"Unchanged","Unchanged","Unchanged","51-60","4","Germany",54,"3","1","1","2",6
"657",657,4065282068049,5188818062589,"Female","Partner/Family/Flatshare","3","2","3","4",1,3,4,4,"3",3,"Unchanged","Increased","Increased","51-60","4","Germany",52,"2","1","2","3",6
"658",658,4016303380944,5126302967184,"Female","Alone","4","1","3","1",3,1,4,4,"3",3,"Decreased","Increased","Increased","51-60","3","Germany",52,"3","1","2","1",5
"659",659,3748036150845,4783893799545,"Female","Partner/Family/Flatshare","2","4","3","3",1,2,3,4,"3",2,"Decreased","Unchanged","Increased","51-60","4","Germany",52,"1","3","2","2",NA
"660",660,3626504576046,4628774125206,"Female","Partner/Family/Flatshare","5","1","1","1",2,1,3,4,"3",1,"Decreased","Unchanged","Increased","51-60","3","Germany",51,"3","1","1","1",3
"661",661,4073853704346,5199758671506,"Male","Alone","3","3","4","1",1,2,3,4,"3",1,"Decreased","Unchanged","Increased","51-60","4","Germany",51,"2","2","3","1",NA
"662",662,4124098959246,5263890380406,"Male","Partner/Family/Flatshare","1","1","1","1",1,3,3,4,"3",1,"Unchanged","Unchanged","Increased","51-60","4","Germany",51,"1","1","1","1",NA
"663",663,3748739294241,4784791273101,"Male","Partner/Family/Flatshare","5","1","2","2",2,1,5,5,"3",1,"Decreased","Increased","Increased","51-60","4","Germany",51,"3","1","1","1",4
"664",664,4421186746146,5643085341306,"Male","Partner/Family/Flatshare","3","1","3","1",1,2,3,4,"3",1,"Decreased","Unchanged","Increased","41-50","3","Germany",50,"2","1","2","1",NA
"665",665,3982544522640,5083214057040,"Male","Alone","5","1","2","4",2,1,3,5,"3",1,"Decreased","Unchanged","Increased","41-50","4","Germany",50,"3","1","1","3",6
"666",666,3857490875547,4923598903167,"Female","Partner/Family/Flatshare","1","1","1","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","41-50","3","Germany",50,"1","1","1","1",4
"667",667,3887275357242,4961615024562,"Female","Alone","2","2","4","2",1,2,3,4,"3",2,"Decreased","Unchanged","Increased","41-50","4","Germany",50,"1","1","3","1",3
"668",668,3805187700546,4856840519706,"Male","Alone","1","1","4","2",1,3,3,2,"3",1,"Unchanged","Unchanged","Decreased","41-50","4","Germany",50,"1","1","3","1",NA
"669",669,4193239221342,5352139174662,"Male","Partner/Family/Flatshare","1","3","1","1",1,2,3,4,"3",2,"Decreased","Unchanged","Increased","41-50","2","Germany",50,"1","2","1","1",NA
"670",670,4432291651548,5657259347628,"Female","Partner/Family/Flatshare","2","4","3","3",1,3,3,3,"3",3,"Unchanged","Unchanged","Unchanged","41-50","4","Germany",50,"1","3","2","2",4
"671",671,4193331827346,5352257374506,"Male","Alone","3","1","5","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","41-50","3","Germany",49,"2","1","3","1",NA
"672",672,4125679776846,5265908094006,"Male","Partner/Family/Flatshare","3","3","3","3",1,2,3,4,"3",2,"Decreased","Unchanged","Increased","41-50","3","Germany",49,"2","2","2","2",6
"673",673,3981055429845,5081313418545,"Male","Alone","2","2","2","3",1,2,2,2,"3",2,"Decreased","Decreased","Decreased","41-50","4","Germany",48,"1","1","1","2",2
"674",674,3710747209347,4736299184967,"Female","Partner/Family/Flatshare","3","2","3","3",1,2,5,2,"3",3,"Decreased","Increased","Decreased","41-50","4","Germany",48,"2","1","2","2",3
"675",675,3804798682341,4856343987201,"Female","Partner/Family/Flatshare","5","1","2","3",3,1,1,2,"3",1,"Decreased","Decreased","Decreased","41-50","4","Germany",48,"3","1","1","2",6
"676",676,3569932517049,4556567051589,"Male","Alone","3","1","4","1",1,4,3,2,"3",1,"Increased","Unchanged","Decreased","41-50","4","Germany",48,"2","1","3","1",3
"677",677,4316175365040,5509051603440,"Male","Partner/Family/Flatshare","4","4","4","1",1,3,3,3,"3",3,"Unchanged","Unchanged","Unchanged","41-50","4","Germany",48,"3","3","3","1",NA
"678",678,3782606735844,4828018776084,"Female","Partner/Family/Flatshare","5","1","1","3",3,1,5,3,"3",1,"Decreased","Increased","Unchanged","41-50","3","Germany",46,"3","1","1","2",NA
"679",679,3681126425943,4698492003723,"Female","Partner/Family/Flatshare","4","2","3","2",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","41-50","4","Germany",46,"3","1","2","1",NA
"680",680,3929157214740,5015071915140,"Male","Partner/Family/Flatshare","2","2","4","2",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","41-50","3","Germany",46,"1","1","3","1",NA
"681",681,4431351679245,5656059591945,"Female","Partner/Family/Flatshare","2","2","2","3",1,3,4,5,"3",1,"Unchanged","Increased","Increased","41-50","3","Germany",46,"1","1","1","2",6
"682",682,4157818590843,5306929222623,"Female","Partner/Family/Flatshare","3","4","5","1",1,3,5,3,"3",1,"Unchanged","Increased","Unchanged","41-50","3","Germany",46,"2","3","3","1",3
"683",683,4219111740240,5385162170640,"Male","Partner/Family/Flatshare","2","3","3","3",1,3,4,2,"3",2,"Unchanged","Increased","Decreased","41-50","3","Germany",45,"1","2","2","2",2
"684",684,3574211174343,4562028216123,"Female","Partner/Family/Flatshare","1","1","4","1",1,2,5,2,"3",2,"Decreased","Increased","Decreased","41-50","4","Germany",45,"1","1","3","1",3
"685",685,3928924088649,5014774359189,"Female","Partner/Family/Flatshare","1","4","1","4",1,3,3,4,"3",3,"Unchanged","Unchanged","Increased","41-50","3","Germany",44,"1","3","1","3",NA
"686",686,3630774403548,4634224019628,"Female","Alone","2","2","5","1",1,3,3,1,"3",2,"Unchanged","Unchanged","Decreased","41-50","4","Germany",44,"1","1","3","1",NA
"687",687,4371177349944,5579254676184,"Male","Partner/Family/Flatshare","1","2","4","1",1,4,3,2,"3",1,"Increased","Unchanged","Decreased","41-50","3","Germany",44,"1","1","3","1",NA
"688",688,4307257524348,5497669108428,"Male","Partner/Family/Flatshare","1","1","3","1",1,3,5,1,"3",3,"Unchanged","Increased","Decreased","41-50","4","Germany",44,"1","1","2","1",NA
"689",689,3801857809743,4852590335523,"Female","Partner/Family/Flatshare","5","1","1","4",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","41-50","4","Germany",43,"3","1","1","3",6
"690",690,3887126719443,4961425307223,"Male","Partner/Family/Flatshare","5","1","5","1",2,1,3,5,"3",2,"Decreased","Unchanged","Increased","41-50","3","Germany",43,"3","1","3","1",6
"691",691,4110617460141,5246682953001,"Female","Alone","1","1","1","1",2,2,3,4,"3",1,"Decreased","Unchanged","Increased","41-50","4","Germany",43,"1","1","1","1",5
"692",692,4020495787548,5131654043628,"Male","Partner/Family/Flatshare","1","4","3","1",1,3,5,3,"3",3,"Unchanged","Increased","Unchanged","41-50","3","Germany",42,"1","3","2","1",3
"693",693,3751104289941,4787809890801,"Female","Partner/Family/Flatshare","4","1","3","3",1,3,4,2,"3",2,"Unchanged","Increased","Decreased","41-50","5","Germany",42,"3","1","2","2",5
"694",694,4040531876241,5157227575101,"Male","Partner/Family/Flatshare","1","4","2","3",1,3,3,4,"3",2,"Unchanged","Unchanged","Increased","41-50","4","Germany",41,"1","3","1","2",3
"695",695,3767150176047,4808290433667,"Female","Partner/Family/Flatshare","1","3","3","1",1,3,1,2,"3",1,"Unchanged","Decreased","Decreased","41-50","4","Germany",41,"1","2","2","1",3
"696",696,4301802929241,5490707008101,"Male","Alone","2","2","4","2",1,3,3,3,"3",3,"Unchanged","Unchanged","Unchanged","41-50","4","Germany",41,"1","1","3","1",4
"697",697,4252834113345,5428204512045,"Female","Alone","2","4","5","1",1,3,3,4,"3",3,"Unchanged","Unchanged","Increased","41-50","3","Germany",41,"1","3","3","1",NA
"698",698,4041134465040,5157996703440,"Male","Partner/Family/Flatshare","2","2","1","2",1,3,5,2,"3",3,"Unchanged","Increased","Decreased","31-40","5","Germany",40,"1","1","1","1",4
"699",699,4197817940247,5357983329867,"Female","Partner/Family/Flatshare","1","1","4","3",1,3,5,3,"3",1,"Unchanged","Increased","Unchanged","31-40","3","Germany",39,"1","1","3","2",3
"700",700,3836669594040,4897023172440,"Male","Partner/Family/Flatshare","3","2","2","3",1,3,3,4,"3",3,"Unchanged","Unchanged","Increased","31-40","4","Germany",39,"2","1","1","2",3
"701",701,3894097119246,4970322140406,"Female","Alone","4","1","2","2",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","31-40","3","Germany",39,"3","1","1","1",5
"702",702,3928787823240,5014600433640,"Female","Partner/Family/Flatshare","3","1","2","3",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",38,"2","1","1","2",4
"703",703,3959663612040,5054009470440,"Male","Partner/Family/Flatshare","4","2","4","2",1,2,5,3,"3",2,"Decreased","Increased","Unchanged","31-40","4","Germany",38,"3","1","3","1",NA
"704",704,3628393341543,4631184895323,"Female","Alone","1","5","3","1",1,3,3,3,"3",3,"Unchanged","Unchanged","Unchanged","31-40","3","Germany",37,"1","3","2","1",NA
"705",705,3896477264448,4973360094528,"Female","Partner/Family/Flatshare","3","3","4","4",1,3,1,4,"3",3,"Unchanged","Decreased","Increased","31-40","4","Germany",37,"2","2","3","3",3
"706",706,3664844698941,4677710439801,"Male","Partner/Family/Flatshare","3","1","2","1",1,3,5,3,"3",1,"Unchanged","Increased","Unchanged","31-40","4","Germany",37,"2","1","1","1",3
"707",707,4067736047046,5191950256206,"Male","Alone","1","5","1","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","31-40","5","Germany",36,"1","3","1","1",6
"708",708,4302515062647,5491615956267,"Male","Partner/Family/Flatshare","1","4","1","4",1,3,3,3,"3",2,"Unchanged","Unchanged","Unchanged","31-40","5","Germany",35,"1","3","1","3",4
"709",709,4015645561440,5125463343840,"Female","Alone","5","1","4","1",2,1,1,1,"3",1,"Decreased","Decreased","Decreased","31-40","4","Germany",34,"3","1","3","1",6
"710",710,4237301004948,5408378465028,"Male","Partner/Family/Flatshare","4","2","5","1",1,3,3,3,"3",3,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",32,"3","1","3","1",4
"711",711,3983781788343,5084793270123,"Female","Alone","1","3","4","3",1,4,3,4,"3",3,"Increased","Unchanged","Increased","31-40","4","Germany",32,"1","2","3","2",3
"712",712,4195131565041,5354554511901,"Female","Alone","4","1","2","2",1,2,3,4,"3",3,"Decreased","Unchanged","Increased","31-40","5","Germany",31,"3","1","1","1",NA
"713",713,4281433053048,5464707439128,"Male","Alone","5","4","4","4",3,2,2,2,"3",2,"Decreased","Decreased","Decreased","31-40","2","Germany",31,"3","3","3","3",6
"714",714,4423411951641,5645925534501,"Female","Partner/Family/Flatshare","4","1","1","3",1,1,3,4,"3",3,"Decreased","Unchanged","Increased","31-40","4","Germany",31,"3","1","1","2",6
"715",715,3569381527347,4555863782967,"Male","Partner/Family/Flatshare","5","5","4","4",3,3,4,4,"3",2,"Unchanged","Increased","Increased","31-40","4","Germany",31,"3","3","3","3",3
"716",716,4415308481241,5635582480101,"Male","Partner/Family/Flatshare","3","3","3","2",1,2,2,2,"3",2,"Decreased","Decreased","Decreased","18-30","2","Germany",30,"2","2","2","1",NA
"717",717,4197676414347,5357802689967,"Female","Partner/Family/Flatshare","3","3","4","4",3,3,1,1,"3",2,"Unchanged","Decreased","Decreased","18-30","2","Germany",30,"2","2","3","3",NA
"718",718,3630850916544,4634321678784,"Female","Partner/Family/Flatshare","2","2","2","2",1,3,3,2,"3",2,"Unchanged","Unchanged","Decreased","18-30","4","Germany",30,"1","1","1","1",2
"719",719,4332510533646,5529901378806,"Female","Partner/Family/Flatshare","2","2","1","1",1,1,3,4,"3",2,"Decreased","Unchanged","Increased","18-30","4","Germany",30,"1","1","1","1",4
"720",720,3840880701645,4902398118345,"Male","Partner/Family/Flatshare","1","1","4","1",1,2,3,4,"3",3,"Decreased","Unchanged","Increased","18-30","3","Germany",28,"1","1","3","1",4
"721",721,3882087017748,4954992765828,"Female","Alone","4","1","4","1",1,4,3,1,"3",1,"Increased","Unchanged","Decreased","18-30","4","Germany",24,"3","1","3","1",NA
"722",722,3575305970640,4563425585040,"Male","Partner/Family/Flatshare","1","1","1","1",1,3,3,3,"3",2,"Unchanged","Unchanged","Unchanged","61-65","2","Germany",66,"1","1","1","1",5
"723",723,4214953201941,5379854322801,"Female","Partner/Family/Flatshare","3","2","2","3",3,1,3,4,"3",1,"Decreased","Unchanged","Increased","61-65","5","Germany",66,"2","1","1","2",NA
"724",724,4400547970743,5616742556523,"Female","Partner/Family/Flatshare","1","1","2","1",1,3,3,3,"3",2,"Unchanged","Unchanged","Unchanged","61-65","3","Germany",64,"1","1","1","1",NA
"725",725,3662472573540,4674682721940,"Male","Alone","5","1","1","4",2,2,3,4,"3",2,"Decreased","Unchanged","Increased","61-65","5","Germany",64,"3","1","1","3",NA
"726",726,3933484934346,5020595701506,"Male","Partner/Family/Flatshare","2","2","1","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","61-65","2","Germany",64,"1","1","1","1",3
"727",727,4040117134146,5156698209306,"Male","Partner/Family/Flatshare","5","1","2","4",3,1,3,3,"3",1,"Decreased","Unchanged","Unchanged","61-65","3","Germany",64,"3","1","1","3",6
"728",728,3976848817245,5075944209945,"Male","Partner/Family/Flatshare","4","1","1","5",2,1,3,5,"3",1,"Decreased","Unchanged","Increased","61-65","4","Germany",63,"3","1","1","3",NA
"729",729,3978582740946,5078157344106,"Male","Alone","4","2","4","2",2,2,3,4,"3",1,"Decreased","Unchanged","Increased","61-65","3","Germany",63,"3","1","3","1",6
"730",730,4033944299547,5148819367167,"Male","Alone","1","1","3","1",3,1,3,5,"3",3,"Decreased","Unchanged","Increased","61-65","4","Germany",63,"1","1","2","1",NA
"731",731,3684282693840,4702520580240,"Female","Alone","1","1","1","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","61-65","3","Germany",62,"1","1","1","1",3
"732",732,4048506335547,5167405963167,"Male","Partner/Family/Flatshare","4","4","1","4",1,3,3,4,"3",3,"Unchanged","Unchanged","Increased","61-65","3","Germany",62,"3","3","1","3",3
"733",733,4150152195147,5297144038767,"Male","Alone","5","2","4","1",1,2,3,4,"3",2,"Decreased","Unchanged","Increased","61-65","3","Germany",62,"3","1","3","1",NA
"734",734,4212793819341,5377098144201,"Female","Partner/Family/Flatshare","4","1","2","2",2,2,3,3,"3",1,"Decreased","Unchanged","Unchanged","61-65","4","Germany",62,"3","1","1","1",NA
"735",735,4023110865744,5134991859984,"Female","Partner/Family/Flatshare","1","1","2","1",1,3,3,4,"3",1,"Unchanged","Unchanged","Increased","61-65","4","Germany",61,"1","1","1","1",6
"736",736,3766790566746,4807831437906,"Female","Partner/Family/Flatshare","3","3","4","3",1,3,4,4,"3",1,"Unchanged","Increased","Increased","61-65","3","Germany",61,"2","2","3","2",NA
"737",737,4238005020642,5409277051962,"Male","Partner/Family/Flatshare","3","2","3","2",1,3,3,2,"3",3,"Unchanged","Unchanged","Decreased","61-65","3","Germany",61,"2","1","2","1",NA
